authfull,inst_name,cntry,np6023,firstyr,lastyr,rank (ns),nc9623 (ns),h23 (ns),hm23 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6023 cited9623 (ns),self%,rank,nc9623,h23,hm23,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6023 cited9623,np6023_rw,nc9623_to_rw,nc9623_rw,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count
"Aravindhan, Surendar",Saveetha Institute of Medical and Technical Sciences,ind,161,2013,2024,"359,407","1,508",20,11.9501,6,69,39,348,83,607,2.9282,"1,304",1.1564,119,21.78%,"330,183","1,928",24,12.7263,6,73,39,467,83,801,3.0241,"1,530",1.2601,125,1,8,27,Artificial Intelligence & Image Processing,0.1304,Applied Physics,0.0870,Enabling & Strategic Technologies,0.2050,"7,269","7,813","399,064"
"Singh, Vijai",Indrashil University,ind,188,2006,2024,"360,151","1,232",18,9.0722,16,99,53,453,136,925,2.9272,"1,182",1.0423,122,30.36%,"274,185","1,769",22,11.9555,16,124,53,682,136,"1,392",3.1081,"1,350",1.3104,135,0,0,1,Biotechnology,0.1180,Microbiology,0.0807,Biomedical Research,0.4845,956,"1,318","62,673"
"Kaur, Manjit",SR University,ind,130,2015,2024,"360,240","3,180",30,14.6607,0,0,32,"1,002",65,"2,270",2.9270,"2,518",1.2629,111,11.54%,"372,414","3,595",34,14.9464,0,0,32,"1,194",65,"2,551",2.9686,"2,701",1.3310,115,1,11,24,Artificial Intelligence & Image Processing,0.2231,Networking & Telecommunications,0.1692,Information & Communication Technologies,0.4538,"8,365","7,845","399,064"
"Som, S. K.",Indian Institute of Technology Kharagpur,ind,72,1980,2018,"360,469","1,418",20,12.5000,4,31,20,386,53,"1,172",2.9267,"1,126",1.2593,68,15.65%,"340,590","1,681",23,14.8333,4,35,20,431,53,"1,347",3.0100,"1,262",1.3320,68,0,0,0,Mechanical Engineering & Transports,0.5833,Energy,0.2222,Engineering,0.6250,"2,783","2,775","143,311"
"Venkatarathnam, G.",Indian Institute of Technology Madras,ind,69,1990,2024,"360,672","1,003",20,13.0333,5,53,16,363,63,901,2.9265,764,1.3128,53,9.15%,"370,361","1,104",21,13.7833,5,65,16,403,63,"1,002",2.9712,821,1.3447,57,0,0,0,Mechanical Engineering & Transports,0.3478,General Physics,0.2899,Engineering,0.5072,"3,045","2,778","143,311"
"Kochar, Dhanpat Kumar",Sardar Patel Medical College,ind,152,1979,2023,"361,526","3,522",31,10.6116,0,0,60,"1,850",85,"2,198",2.9254,"2,684",1.3122,133,11.28%,"389,837","3,970",33,10.8814,0,0,60,"2,010",85,"2,371",2.9475,"2,909",1.3647,133,0,0,2,General & Internal Medicine,0.2961,Tropical Medicine,0.2171,Clinical Medicine,0.8487,"4,895","4,875","333,256"
"Goel, R. K.",Banaras Hindu University,ind,95,1985,2014,"361,534","3,266",34,13.3159,0,0,25,878,68,"2,392",2.9254,"2,594",1.2591,85,9.98%,"378,074","3,628",36,14.3992,0,0,25,"1,006",68,"2,666",2.9616,"2,714",1.3368,89,0,0,6,General & Internal Medicine,0.4105,Medicinal & Biomolecular Chemistry,0.2211,Clinical Medicine,0.7474,"4,763","4,876","333,256"
"Ghatak, Kamakhya Prasad",Institute of Engineering and Management,ind,385,1969,2023,"361,694","1,489",14,11.1500,26,38,198,680,361,"1,395",2.9251,251,5.9323,254,72.10%,"62,466","5,336",35,28.4833,26,188,198,"2,689",361,"5,038",3.6787,405,13.1753,306,0,0,0,Applied Physics,0.3822,General Physics,0.1204,Physics & Astronomy,0.7592,"1,643","10,427","304,738"
"Roy, Partha Pratim",Indian Institute of Technology Roorkee,ind,249,2004,2024,"362,014","4,354",34,17.6619,0,0,33,453,125,"1,759",2.9247,"3,627",1.2004,220,13.40%,"352,671","5,028",39,19.9119,0,0,33,556,125,"2,057",2.9940,"3,906",1.2873,236,0,0,19,Artificial Intelligence & Image Processing,0.6988,Software Engineering,0.0763,Information & Communication Technologies,0.8514,"7,834","7,889","399,064"
"Vijayakumar, P.",University College of Engineering Tindivanam,ind,183,2010,2024,"362,615","4,125",35,15.4040,2,0,31,873,66,"1,236",2.9240,"3,087",1.3362,155,11.39%,"370,431","4,655",37,16.9040,2,0,31,"1,035",66,"1,465",2.9711,"3,397",1.3703,161,0,0,22,Networking & Telecommunications,0.3204,Artificial Intelligence & Image Processing,0.2210,Information & Communication Technologies,0.7459,"3,942","3,765","206,482"
"Srinivas, Suripeddi",VIT-AP University,ind,98,1996,2024,"363,082","2,812",25,14.0000,0,0,29,"1,536",69,"2,614",2.9233,"1,845",1.5241,73,16.85%,"347,436","3,382",29,16.3667,0,0,29,"1,768",69,"3,087",3.0007,"2,040",1.6578,81,0,0,2,Mechanical Engineering & Transports,0.4898,Mathematical Physics,0.0612,Engineering,0.5612,"2,845","2,789","143,311"
"Satapathy, Suresh Chandra","Kalinga Institute of Industrial Technology, Bhubaneswar",ind,352,2006,2024,"363,417","4,117",36,14.6710,2,0,87,566,218,"2,018",2.9228,"3,652",1.1273,220,18.25%,"354,724","5,036",39,17.0710,2,0,87,649,218,"2,472",2.9913,"4,113",1.2244,237,3,21,12,Artificial Intelligence & Image Processing,0.4355,Electrical & Electronic Engineering,0.0888,Information & Communication Technologies,0.6762,"7,893","7,920","399,064"
"Jhaveri, Rutvij H.",Pandit Deendayal Energy University,ind,105,2012,2024,"363,429","1,658",23,10.5611,2,28,17,470,51,969,2.9228,"1,449",1.1442,91,14.40%,"356,437","1,937",25,11.7183,2,34,17,544,51,"1,077",2.9891,"1,634",1.1854,94,0,0,3,Networking & Telecommunications,0.3301,Artificial Intelligence & Image Processing,0.2427,Information & Communication Technologies,0.6893,"3,772","3,773","206,482"
"Biswas, G. P.","Indian Institute of Technology (Indian School of Mines), Dhanbad",ind,133,2004,2023,"363,566","2,846",27,14.8500,2,39,3,39,102,"1,575",2.9226,"2,207",1.2895,110,17.56%,"337,183","3,452",31,17.5167,2,44,3,44,102,"2,007",3.0146,"2,406",1.4347,115,0,0,14,Networking & Telecommunications,0.3684,Artificial Intelligence & Image Processing,0.3008,Information & Communication Technologies,0.8346,"3,544","3,775","206,482"
"Banerjee, Sanjay K.",National Institute of Pharmaceutical Education and Research Guwahati (NIPER-G),ind,67,1987,2024,"363,773","3,860",31,10.5737,0,0,10,"1,231",46,"2,963",2.9223,"3,554",1.0861,65,6.40%,"398,903","4,124",33,10.8237,0,0,10,"1,294",46,"3,162",2.9367,"3,695",1.1161,65,0,0,8,Medicinal & Biomolecular Chemistry,0.2239,Pharmacology & Pharmacy,0.1493,Clinical Medicine,0.4328,"2,037","1,814","105,998"
"Verma, S. B.",National Aerospace Laboratories India,ind,109,1996,2023,"364,058",812,15,12.5667,7,99,68,579,87,676,2.9220,527,1.5408,83,26.98%,"303,036","1,112",19,13.9000,7,126,68,823,87,945,3.0633,648,1.7160,93,0,0,0,Aerospace & Aeronautics,0.7156,Fluids & Plasmas,0.1101,Engineering,0.8532,678,766,"58,309"
"Bindra, K. S.",Raja Ramanna Centre for Advanced Technology,ind,179,1991,2024,"364,285","2,248",27,11.9730,1,14,20,270,114,"1,320",2.9217,"2,035",1.1047,150,15.87%,"369,133","2,672",29,12.9409,1,14,20,320,114,"1,553",2.9728,"2,294",1.1648,155,0,0,0,Optoelectronics & Photonics,0.2737,Materials,0.2291,Enabling & Strategic Technologies,0.5251,"1,704","1,487","120,816"
"Sivalingam, Krishna M.",Indian Institute of Technology Madras,ind,243,1992,2024,"364,466","4,382",26,15.2333,4,2,22,221,181,"2,810",2.9215,"4,097",1.0696,179,5.03%,"394,231","4,614",27,16.1262,4,2,22,254,181,"2,957",2.9422,"4,231",1.0905,192,0,0,2,Networking & Telecommunications,0.6835,Optoelectronics & Photonics,0.0970,Information & Communication Technologies,0.8354,"4,223","3,785","206,482"
"Sundar, V.",Indian Institute of Technology Madras,ind,279,1980,2024,"364,886","1,926",25,14.1762,6,12,72,309,199,"1,203",2.9209,"1,640",1.1744,162,19.14%,"329,807","2,382",27,15.8762,6,18,72,396,199,"1,502",3.0247,"1,853",1.2855,184,0,0,0,Civil Engineering,0.3610,Oceanography,0.1769,Engineering,0.5126,935,981,"57,831"
"Aggarwal, I.",Panjab University,ind,441,1971,2024,"365,098","7,683",44,18.7636,9,0,18,40,240,"5,554",2.9207,"5,482",1.4015,312,16.83%,"373,093","9,238",49,19.9790,9,0,18,45,240,"6,345",2.9677,"6,062",1.5239,344,0,0,1,Optoelectronics & Photonics,0.3673,Optics,0.2154,Enabling & Strategic Technologies,0.4762,"1,737","1,491","120,816"
"Mehar, Kulmani",Manipal Academy of Higher Education,ind,52,2015,2024,"365,585","2,268",30,14.3500,0,0,31,"1,631",37,"1,842",2.9200,"1,029",2.2041,50,8.40%,"407,699","2,476",30,14.6000,0,0,31,"1,741",37,"2,000",2.9262,"1,148",2.1568,50,0,0,34,Civil Engineering,0.3077,Mechanical Engineering & Transports,0.2115,Engineering,0.5769,"1,216",986,"57,831"
"Rao, Balkrishna C.",Indian Institute of Technology Madras,ind,61,1994,2024,"365,918","1,065",13,8.3100,13,236,24,607,38,699,2.9196,971,1.0968,44,16.60%,"338,354","1,277",16,9.6433,13,281,24,672,38,784,3.0129,"1,085",1.1770,49,0,0,0,Materials,0.2787,Industrial Engineering & Automation,0.2459,Engineering,0.4098,"5,380","5,752","299,561"
"Nath, Ashish Kumar",Indian Institute of Technology Kharagpur,ind,133,1979,2024,"366,236","2,198",26,12.4012,1,21,18,137,100,"1,732",2.9192,"1,969",1.1163,108,13.97%,"374,182","2,555",28,13.3425,1,21,18,159,100,"2,033",2.9664,"2,177",1.1736,115,0,0,0,Optoelectronics & Photonics,0.3910,Materials,0.2331,Enabling & Strategic Technologies,0.6541,"1,744","1,502","120,816"
"Kashyap, Ramgopal",Amity University Chhattisgarh,ind,50,2010,2024,"366,332",910,16,10.9524,20,236,32,338,39,493,2.9191,285,3.1930,42,13.00%,"334,328","1,046",19,13.1190,20,251,32,431,39,606,3.0184,318,3.2893,43,0,0,1,Artificial Intelligence & Image Processing,0.2128,Networking & Telecommunications,0.0851,Information & Communication Technologies,0.7660,"7,376","7,991","399,064"
"Alagirusamy, R.",Indian Institute of Technology Delhi,ind,181,1988,2024,"366,526","2,854",29,13.9262,3,6,18,308,97,"1,174",2.9188,"2,497",1.1430,141,15.96%,"351,966","3,396",31,16.2595,3,7,18,353,97,"1,436",2.9949,"2,712",1.2522,152,0,0,2,Materials,0.4778,Polymers,0.1556,Enabling & Strategic Technologies,0.5833,"5,640","5,760","299,561"
"Seth, G. S.","Indian Institute of Technology (Indian School of Mines), Dhanbad",ind,113,2009,2024,"366,539","2,376",31,15.1000,0,0,59,"1,430",79,"1,629",2.9188,"1,418",1.6756,105,16.57%,"365,201","2,848",34,16.7667,0,0,59,"1,670",79,"1,928",2.9779,"1,572",1.8117,107,0,0,2,Mechanical Engineering & Transports,0.5044,General Physics,0.0796,Engineering,0.5752,"3,005","2,813","143,311"
"Haque, Fozia Z.",Maulana Azad National Institute of Technology,ind,98,2004,2023,"366,804","1,634",23,10.8802,1,35,13,259,71,"1,265",2.9184,"1,543",1.0590,82,16.89%,"353,902","1,966",25,12.8758,1,35,13,307,71,"1,539",2.9924,"1,661",1.1836,87,0,0,1,Optics,0.2474,Applied Physics,0.2165,Physics & Astronomy,0.5258,"1,640","1,547","78,127"
"Marur, Prabhakar R.",General Motors,ind,36,1994,2014,"367,331",606,13,9.9167,20,298,36,606,36,606,2.9178,494,1.2267,28,8.60%,"389,517",663,13,10.9167,20,314,36,663,36,663,2.9478,525,1.2629,28,0,0,0,Mechanical Engineering & Transports,0.5278,Materials,0.1667,Engineering,0.6111,"3,218","2,823","143,311"
"Nandy, Ashesh",Centre for Interdisciplinary Research and Education,ind,69,1993,2023,"367,436","1,083",16,9.0500,7,152,25,458,47,753,2.9176,634,1.7082,51,34.32%,"273,823","1,649",21,11.9595,7,187,25,655,47,"1,118",3.1086,762,2.1640,57,0,0,3,Medicinal & Biomolecular Chemistry,0.2174,Bioinformatics,0.1449,Chemistry,0.3623,"1,259","1,834","105,998"
"Majumdar, B. C.",Indian Institute of Technology Kharagpur,ind,168,1969,2020,"367,631","1,101",17,12.1619,44,108,72,266,136,798,2.9174,822,1.3394,122,10.78%,"380,696","1,234",18,13.3286,44,112,72,301,136,873,2.9584,892,1.3834,125,0,0,0,Mechanical Engineering & Transports,0.7186,Medical Informatics,0.0359,Engineering,0.8263,"3,135","2,829","143,311"
"Kango, Naveen",Dr. H. S. Gour Vishwavidyalaya Sagar,ind,72,2001,2024,"367,856","1,160",21,12.0333,1,70,6,197,59,"1,060",2.9171,933,1.2433,56,23.13%,"338,458","1,509",25,12.6167,1,86,6,244,59,"1,343",3.0128,"1,013",1.4896,57,0,0,10,Biotechnology,0.2639,Food Science,0.1111,Enabling & Strategic Technologies,0.4167,"1,222","1,362","62,673"
"Sharma, Raj Kishore",University of Delhi,ind,150,1979,2024,"369,044","3,499",32,13.7750,0,0,25,933,74,"1,946",2.9155,"3,187",1.0979,130,17.73%,"362,570","4,253",37,15.7441,0,0,25,999,74,"2,244",2.9812,"3,449",1.2331,134,0,0,2,Energy,0.2067,Inorganic & Nuclear Chemistry,0.1400,Enabling & Strategic Technologies,0.4333,"6,016","6,120","313,936"
"Razmjooy, Navid",Saveetha School of Engineering,ind,109,2011,2024,"369,769","2,888",32,13.5345,2,0,31,888,82,"2,544",2.9146,"1,607",1.7971,90,13.92%,"381,927","3,355",33,14.8845,2,0,31,"1,045",82,"2,899",2.9569,"1,735",1.9337,94,0,0,59,Energy,0.2095,Artificial Intelligence & Image Processing,0.1714,Engineering,0.3810,"6,420","6,133","313,936"
"Jayaganthan, R.",Indian Institute of Technology Madras,ind,323,1996,2024,"370,184","5,134",37,22.8583,0,0,13,125,122,"2,121",2.9141,"3,937",1.3040,271,18.92%,"364,383","6,332",42,24.4179,0,0,13,153,122,"2,599",2.9789,"4,333",1.4613,288,0,0,1,Materials,0.5759,Applied Physics,0.1858,Enabling & Strategic Technologies,0.6440,"5,842","5,822","299,561"
"Manisankar, P.",Alagappa University,ind,160,1982,2023,"370,338","2,816",31,15.8802,0,0,35,853,103,"1,944",2.9139,"2,470",1.1401,148,13.27%,"383,221","3,247",32,17.4135,0,0,35,"1,022",103,"2,188",2.9554,"2,724",1.1920,150,0,0,0,Energy,0.1938,Analytical Chemistry,0.1375,Chemistry,0.4938,"6,446","6,144","313,936"
"Shakher, Chandra",Indian Institute of Technology Delhi,ind,193,1978,2024,"370,439","1,833",24,14.8833,4,8,48,354,168,"1,433",2.9137,"1,282",1.4298,137,31.78%,"295,723","2,687",29,17.2167,4,10,48,565,168,"2,207",3.0742,"1,502",1.7889,157,0,0,0,Optics,0.4375,Optoelectronics & Photonics,0.4323,Physics & Astronomy,0.4948,"1,361","1,562","78,127"
"Singh, Surinder",Sant Longowal Institute of Engineering and Technology,ind,149,2005,2024,"370,511","1,239",18,12.6667,6,49,36,322,99,"1,025",2.9137,982,1.2617,112,26.21%,"290,405","1,679",24,16.1667,6,56,36,490,99,"1,362",3.0824,"1,157",1.4512,120,0,0,0,Optoelectronics & Photonics,0.3557,Optics,0.2013,Enabling & Strategic Technologies,0.3624,"1,248","1,527","120,816"
"Vadlamani, Subramanya Sarma",Indian Institute of Technology Madras,ind,137,1997,2024,"370,599","3,900",33,14.3381,0,0,21,578,67,"2,364",2.9136,"3,225",1.2093,118,13.79%,"373,871","4,524",37,15.6547,0,0,21,663,67,"2,711",2.9668,"3,505",1.2907,122,0,0,3,Materials,0.8686,General Physics,0.0511,Enabling & Strategic Technologies,0.8759,"6,013","5,828","299,561"
"Mandal, B. N.","Indian Statistical Institute, Kolkata",ind,170,1983,2024,"370,809","1,323",18,13.7500,10,16,60,638,158,"1,223",2.9133,881,1.5017,118,28.37%,"297,623","1,847",23,16.3333,10,25,60,771,158,"1,667",3.0714,997,1.8526,134,0,0,1,Mechanical Engineering & Transports,0.2765,Applied Mathematics,0.2235,Mathematics & Statistics,0.4765,"2,411","2,857","143,311"
"Balgir, R. S.",Indian Council of Medical Research,ind,82,1978,2019,"370,904",521,11,11.0000,69,473,82,521,82,521,2.9132,392,1.3291,53,30.25%,"275,245",747,15,13.8333,69,677,82,747,82,747,3.1063,440,1.6977,57,0,0,1,General & Internal Medicine,0.3537,Genetics & Heredity,0.0854,Clinical Medicine,0.7195,"3,390","5,019","333,256"
"Sinha, Prawal",Indian Institute of Technology Kanpur,ind,120,1967,2021,"371,094","1,251",18,12.7500,5,41,54,391,102,977,2.9129,964,1.2977,87,10.90%,"394,486","1,404",19,13.8667,5,41,54,402,102,"1,076",2.9419,"1,030",1.3631,90,0,0,0,Mechanical Engineering & Transports,0.7417,Applied Mathematics,0.0667,Engineering,0.7750,"3,275","2,860","143,311"
"Krishnan, Madangopal",Bhabha Atomic Research Centre,ind,88,1988,2022,"371,140","1,160",20,10.9786,4,98,14,296,53,645,2.9129,"1,027",1.1295,73,13.43%,"381,108","1,340",21,12.0952,4,105,14,326,53,720,2.9579,"1,140",1.1754,78,0,0,0,Materials,0.6364,General Physics,0.0909,Enabling & Strategic Technologies,0.6818,"6,161","5,840","299,561"
"Choudhuri, S. K.Roy",The University of Burdwan,ind,15,1972,2007,"371,171",783,9,6.7500,6,661,14,770,15,783,2.9128,727,1.0770,14,1.39%,"426,343",794,9,6.7500,6,665,14,780,15,794,2.9052,732,1.0847,14,0,0,0,Mechanical Engineering & Transports,0.4667,Numerical & Computational Mathematics,0.2000,Engineering,0.5333,"3,527","2,862","143,311"
"Singh, Narinder Pal",Shree Guru Gobind Singh Tricentenary University,ind,139,1989,2024,"371,682","26,639",27,7.9235,1,3,57,522,73,591,2.9122,"24,901",1.0698,102,11.91%,"419,967","30,242",27,7.9235,1,3,57,537,73,606,2.9122,"27,452",1.1016,105,0,0,20,General & Internal Medicine,0.4820,Urology & Nephrology,0.1151,Clinical Medicine,0.9424,"5,291","5,027","333,256"
"Chugh, Seema","All India Institute of Medical Sciences, New Delhi",ind,68,1978,2013,"372,146","1,128",21,7.6429,3,53,48,868,53,878,2.9116,696,1.6207,48,2.67%,"417,768","1,159",21,7.9762,3,54,48,895,53,905,2.9147,706,1.6416,48,0,0,0,General & Internal Medicine,0.5588,General Clinical Medicine,0.0441,Clinical Medicine,0.9118,"5,267","5,034","333,256"
"Maurya, Rakesh Kumar",Indian Institute of Technology Ropar,ind,94,2008,2024,"372,861","1,989",20,10.2833,4,10,43,908,84,"1,427",2.9107,"1,677",1.1860,68,17.13%,"323,324","2,400",22,12.7833,4,15,43,"1,142",84,"1,784",3.0339,"1,824",1.3158,77,0,0,3,Energy,0.5484,Mechanical Engineering & Transports,0.1075,Enabling & Strategic Technologies,0.6774,"5,240","6,201","313,936"
"Ponalagusamy, R.",National Institute of Technology Tiruchirappalli,ind,106,1985,2024,"372,862","1,019",16,11.2000,14,101,58,385,88,806,2.9107,817,1.2472,84,22.15%,"326,623","1,309",17,12.8667,14,148,58,531,88,"1,049",3.0292,931,1.4060,89,0,0,1,Materials,0.1619,Mechanical Engineering & Transports,0.1429,Engineering,0.2857,"5,173","5,866","299,561"
"Raza, Kaisar",Central University of Rajasthan,ind,112,2009,2024,"372,883","2,397",29,10.9651,1,4,16,743,61,"1,301",2.9107,"1,912",1.2537,102,26.36%,"293,791","3,255",35,12.0282,1,9,16,"1,037",61,"1,795",3.0771,"2,130",1.5282,103,0,0,6,Pharmacology & Pharmacy,0.5321,Biomedical Engineering,0.0550,Clinical Medicine,0.6789,"2,901","3,867","148,458"
"Pavan Kumar, G.",K.L.E. Society’s S. Nijalingappa College,ind,83,2006,2024,"374,142","1,262",17,8.7743,6,117,18,424,58,785,2.9090,"1,181",1.0686,74,24.61%,"314,218","1,674",22,10.8410,6,134,18,521,58,"1,027",3.0470,"1,418",1.1805,76,0,0,0,Optics,0.1928,Nanoscience & Nanotechnology,0.1807,Physics & Astronomy,0.5663,"1,443","1,579","78,127"
"Shah, Rajiv Ratn","Indraprastha Institute of Information Technology, Delhi",ind,191,2013,2024,"374,314","2,592",27,12.8540,2,15,12,161,109,"1,297",2.9088,"2,162",1.1989,156,14.93%,"330,008","3,047",30,13.8802,2,25,12,242,109,"1,545",3.0244,"2,393",1.2733,162,0,0,2,Artificial Intelligence & Image Processing,0.8263,Speech-Language Pathology & Audiology,0.0526,Information & Communication Technologies,0.9053,"7,260","8,198","399,064"
"Ahmad, Suhail",Indian Institute of Technology Delhi,ind,122,1986,2024,"375,659","1,732",21,10.7262,1,43,15,312,70,869,2.9072,"1,422",1.2180,85,17.17%,"344,741","2,091",24,12.7595,1,55,15,344,70,"1,049",3.0043,"1,556",1.3438,98,1,34,2,Civil Engineering,0.4344,Mechanical Engineering & Transports,0.1475,Engineering,0.6475,997,"1,025","57,831"
"Kumar, G. Anil",Public Health Foundation of India,ind,200,2005,2024,"375,916","107,553",89,8.6789,0,0,9,130,16,151,2.9069,"94,327",1.1402,187,10.68%,"406,587","120,418",94,8.8515,0,0,9,142,16,167,2.9275,"101,579",1.1855,189,0,0,95,General & Internal Medicine,0.3900,Public Health,0.1050,Clinical Medicine,0.7100,"5,113","5,075","333,256"
"Kumar, Ramesh",Indira Gandhi University,ind,267,1968,2024,"377,413","3,808",29,11.2103,3,20,27,190,88,643,2.9050,"3,330",1.1435,178,12.72%,"407,267","4,363",29,11.8864,3,21,27,205,88,687,2.9267,"3,681",1.1853,183,0,0,3,General & Internal Medicine,0.2584,Microbiology,0.1873,Clinical Medicine,0.6479,"5,123","5,100","333,256"
"Dhawan, K.",Haryana Health Department,ind,21,2001,2005,"379,024","1,269",18,7.9167,1,29,19,"1,183",20,"1,221",2.9030,868,1.4620,21,7.84%,"404,729","1,377",20,7.9167,1,30,19,"1,288",20,"1,328",2.9298,887,1.5524,21,0,0,0,Medicinal & Biomolecular Chemistry,0.4762,Pharmacology & Pharmacy,0.2857,Chemistry,0.4762,"2,070","1,896","105,998"
"Pal, Dilip K.",ICAR-NBSS and LUP,ind,102,1985,2023,"379,189","1,584",23,10.4515,6,23,32,559,51,822,2.9028,"1,228",1.2899,89,38.17%,"253,569","2,562",29,13.4130,6,43,32,948,51,"1,379",3.1427,"1,379",1.8579,95,0,0,0,Agronomy & Agriculture,0.3838,Plant Biology & Botany,0.3232,"Agriculture, Fisheries & Forestry",0.4444,"1,517","2,394","81,496"
"Acharjee, Parimal","National Institute of Technology, Durgapur",ind,109,2008,2024,"380,322",933,17,10.8667,11,136,23,286,81,730,2.9014,842,1.1081,80,13.53%,"396,099","1,079",19,11.0333,11,141,23,311,81,835,2.9400,937,1.1515,82,0,0,0,Electrical & Electronic Engineering,0.3486,Energy,0.3486,Enabling & Strategic Technologies,0.4037,"1,463","1,349","119,204"
"Singh, Kamal",Sant Gadge Baba Amravati University,ind,126,1972,2023,"381,899",811,15,10.4167,9,125,70,496,112,731,2.8994,757,1.0713,90,20.57%,"352,781","1,021",17,11.3333,9,149,70,651,112,925,2.9939,832,1.2272,107,0,0,0,Energy,0.4365,Applied Physics,0.3254,Enabling & Strategic Technologies,0.6032,"5,837","6,395","313,936"
"Sharma, Ram Roshan","ICAR - Indian Agricultural Research Institute, New Delhi",ind,163,1994,2024,"382,475","3,184",26,13.9841,0,0,44,"1,375",75,"1,743",2.8986,"2,934",1.0852,140,11.33%,"403,097","3,591",28,14.9159,0,0,44,"1,501",75,"1,920",2.9317,"3,089",1.1625,146,0,0,2,Horticulture,0.3519,Agronomy & Agriculture,0.2037,"Agriculture, Fisheries & Forestry",0.7407,117,107,"5,488"
"Senthilkumaran, P.",Indian Institute of Technology Delhi,ind,201,1993,2024,"382,658","1,602",19,12.7492,4,58,17,192,131,820,2.8984,"1,117",1.4342,133,37.47%,"250,309","2,562",27,17.6104,4,85,17,301,131,"1,415",3.1484,"1,365",1.8769,147,0,0,0,Optics,0.5672,Optoelectronics & Photonics,0.3085,Physics & Astronomy,0.6667,"1,159","1,628","78,127"
"Ananda Mohan, P. V.",C-DAC,ind,96,1975,2024,"383,257",624,11,10.0000,51,400,64,509,88,552,2.8977,506,1.2332,56,18.22%,"366,502",763,13,10.6667,51,466,64,595,88,647,2.9762,554,1.3773,65,0,0,0,Electrical & Electronic Engineering,0.4421,Networking & Telecommunications,0.1895,Engineering,0.6632,"1,331","1,362","119,204"
"Sharma, K. K.",Malaviya National Institute of Technology Jaipur,ind,105,2005,2024,"383,677","1,009",16,11.8333,7,69,30,414,65,829,2.8972,887,1.1375,76,14.27%,"387,417","1,177",18,12.6667,7,72,30,463,65,954,2.9503,974,1.2084,85,0,0,0,Networking & Telecommunications,0.2952,Artificial Intelligence & Image Processing,0.1810,Information & Communication Technologies,0.5238,"4,144","3,997","206,482"
"Rajan, B. Sundar",Indian Institute of Science,ind,404,1988,2024,"384,964","3,257",25,16.7833,2,12,14,39,381,"2,812",2.8956,"2,208",1.4751,269,26.69%,"311,041","4,443",28,19.2000,2,20,14,65,381,"3,814",3.0516,"2,620",1.6958,325,0,0,0,Networking & Telecommunications,0.9257,Computation Theory & Mathematics,0.0149,Information & Communication Technologies,0.9678,"3,238","4,019","206,482"
"Raghukandan, K.",Annamalai University,ind,118,1997,2024,"385,103","2,032",24,11.1500,2,86,15,150,52,448,2.8954,"1,791",1.1346,95,19.49%,"338,701","2,524",26,13.1000,2,99,15,214,52,673,3.0124,"1,964",1.2851,105,0,0,3,Materials,0.7203,Mechanical Engineering & Transports,0.0932,Enabling & Strategic Technologies,0.7712,"5,383","6,058","299,561"
"Mangalathu, Sujith",Kottarakara,ind,88,2011,2024,"385,223","2,661",26,13.4167,0,0,23,"1,587",43,"1,899",2.8953,"1,707",1.5589,72,17.00%,"391,102","3,206",29,14.0000,0,0,23,"1,859",43,"2,236",2.9460,"1,895",1.6918,78,0,0,1,Civil Engineering,0.5114,"Strategic, Defence & Security Studies",0.2045,Engineering,0.5909,"1,148","1,056","57,831"
"Samajdar, Indradev",Indian Institute of Technology Bombay,ind,292,1991,2024,"385,244","3,779",35,13.7722,0,0,21,626,149,"1,725",2.8953,"3,262",1.1585,239,25.86%,"334,090","5,097",40,17.8492,0,0,21,783,149,"2,435",3.0188,"3,796",1.3427,259,0,0,1,Materials,0.6712,Energy,0.0856,Enabling & Strategic Technologies,0.7671,"5,305","6,060","299,561"
"Sangwai, Jitendra S.",Indian Institute of Technology Madras,ind,202,2005,2024,"385,766","4,059",36,19.7250,0,0,6,116,164,"3,444",2.8946,"2,963",1.3699,178,24.29%,"344,179","5,361",41,23.7524,0,0,6,166,164,"4,440",3.0051,"3,320",1.6148,187,0,0,3,Energy,0.4826,Chemical Engineering,0.2139,Enabling & Strategic Technologies,0.5672,"5,662","6,468","313,936"
"Dewanjee, Saikat",Jadavpur University,ind,131,2005,2024,"387,080","3,075",30,12.7763,0,0,35,"1,219",60,"1,736",2.8930,"2,863",1.0740,119,13.28%,"396,582","3,546",34,13.6483,0,0,35,"1,342",60,"1,964",2.9394,"3,024",1.1726,120,0,0,9,Medicinal & Biomolecular Chemistry,0.1875,Food Science,0.0859,Clinical Medicine,0.3125,"2,015","1,941","105,998"
"Roy, Partha",Indian Institute of Technology Roorkee,ind,261,2000,2024,"387,487","4,761",36,18.9080,0,0,6,127,119,"2,909",2.8924,"4,485",1.0615,229,12.98%,"407,532","5,471",38,20.0342,0,0,6,148,119,"3,204",2.9264,"4,899",1.1168,236,0,0,8,Medicinal & Biomolecular Chemistry,0.1034,Organic Chemistry,0.0805,Chemistry,0.2989,"2,084","1,949","105,998"
